experiment,shapelet_lengths,dimensionality,cardinality,r,best_k,cv_accuracy,test_accuracy
10,"[100, 200, 300]",16,3,5,9,0.942,0.91
2,"[100, 200, 300]",8,3,10,8,0.901,0.905
3,"[100, 200, 300]",8,3,20,7,0.885,0.903
5,"[100, 200, 300]",8,4,10,8,0.89,0.898
1,"[100, 200, 300]",8,3,5,5,0.9,0.887
6,"[100, 200, 300]",8,4,20,5,0.8800000000000001,0.88
8,"[100, 200, 300]",8,6,10,10,0.8699999999999999,0.871
4,"[100, 200, 300]",8,4,5,9,0.8940000000000001,0.868
7,"[100, 200, 300]",8,6,5,7,0.843,0.839
9,"[100, 200, 300]",8,6,20,8,0.826,0.792
